,Candidate Id,Candidate Name,Candidate Office,Candidate Office State,Candidate Office District,Candidate Party Affiliation,Candidate Incumbent Challenger Open Seat,Net Contribution,Net Operating Expenditure,Winner_binary,Cash on Hand Beginning of Period,Cash on Hand Close of Period,Individual Itemized Contribution,Individual Unitemized Contribution,Individual Contribution,Electorate,rank_netExpenditure,rank_UnItemizedContribution,rank_ItemizedContribution
1272,H2AZ07070,"GRIJALVA, RAUL M",H,AZ,3.0,DEM,INCUMBENT,601105.55,509267.46,1,36088.02,112881.71,170243.13,152452.43,322695.56,AZ-3.0,1.0,1.0,1.0
1111,H6AZ03187,"VILLARREAL, JAMES",H,AZ,3.0,DEM,CHALLENGER,6717.0,9883.02,0,0.0,0.0,3750.0,1017.0,4767.0,AZ-3.0,2.0,2.0,2.0
250,H0AZ01259,"GOSAR, PAUL ANTHONY",H,AZ,4.0,REP,INCUMBENT,673182.99,664064.74,1,112812.09,107940.07,337920.04,78375.5,416295.54,AZ-4.0,1.0,1.0,1.0
980,H6AZ04177,"STRAUSS, RAYMOND JOHN",H,AZ,4.0,REP,CHALLENGER,109978.2,109978.2,0,0.0,0.0,93660.0,8263.14,101923.14,AZ-4.0,2.0,3.0,2.0
700,H2AZ04143,"WEISSER, MIKEL",H,AZ,4.0,DEM,CHALLENGER,31767.58,27671.67,0,2719.03,6407.69,20865.26,10652.32,31517.58,AZ-4.0,3.0,2.0,3.0
1514,H6AZ05125,"JONES, CHRISTINE",H,AZ,5.0,REP,OPEN,68015.94,1944660.29,0,0.0,29209.39,47959.94,2956.0,50915.94,AZ-5.0,1.0,5.0,3.0
287,H6AZ05083,"BIGGS, ANDY",H,AZ,5.0,REP,OPEN,602887.63,693446.51,1,0.0,69832.4,375607.0,39230.13,414837.13,AZ-5.0,2.0,1.0,1.0
1445,H6AZ05117,"STAPLEY, DONALD T",H,AZ,5.0,REP,OPEN,254592.0,501948.7,0,0.0,0.0,248002.0,11690.0,259692.0,AZ-5.0,3.0,2.0,2.0
1553,H6AZ05091,"OLSON, JUSTIN",H,AZ,5.0,REP,OPEN,52375.12,151429.15,0,0.0,945.97,42126.12,5924.0,48050.12,AZ-5.0,4.0,3.0,4.0
1494,H6AZ05133,"FUENTES, TALIA",H,AZ,5.0,DEM,OPEN,11614.71,10346.7,0,0.0,1268.01,3770.0,4244.71,8014.71,AZ-5.0,5.0,4.0,6.0
1657,H6AZ05109,"MARTYN, BRYAN",H,AZ,5.0,REP,OPEN,4965.0,2965.0,0,0.0,0.0,4300.0,665.0,4965.0,AZ-5.0,6.0,6.0,5.0
284,H4AZ06045,"SCHWEIKERT, DAVID",H,AZ,6.0,REP,INCUMBENT,499491.84,285981.87,1,37475.5,64693.61,160035.0,15406.84,175441.84,AZ-6.0,1.0,1.0,1.0
711,H2AZ05132,"WILLIAMSON, WALTER JOHN",H,AZ,6.0,DEM,CHALLENGER,1626.36,5911.62,0,352.56,331.3,1009.41,616.95,1626.36,AZ-6.0,2.0,2.0,2.0
375,H4AZ07043,"GALLEGO, RUBEN",H,AZ,7.0,DEM,INCUMBENT,1020199.67,483939.12,1,24162.63,380086.85,420737.76,124099.24,544837.0,AZ-7.0,1.0,1.0,1.0
603,H6AZ07030,"NUNEZ, EVANGELINE MARTINEZ",H,AZ,7.0,REP,CHALLENGER,29792.2,19585.08,0,0.0,8707.12,20580.2,1512.0,22092.2,AZ-7.0,2.0,2.0,2.0
1269,H4AZ04024,"FRANKS, TRENT",H,AZ,8.0,REP,INCUMBENT,336998.0,214726.34,1,6049.44,29321.1,132715.0,10418.0,143133.0,AZ-8.0,1.0,1.0,1.0
1116,H6AZ08178,"ARMSTRONG-STONER, DEREK JAMES",H,AZ,8.0,DEM,CHALLENGER,6600.98,16106.64,0,0.0,0.0,1265.98,735.0,2000.98,AZ-8.0,2.0,2.0,2.0
337,H2AZ09019,"SINEMA, KYRSTEN",H,AZ,9.0,DEM,INCUMBENT,3817156.62,2129141.03,1,303114.76,2101965.37,1822603.25,265264.41,2087867.66,AZ-9.0,1.0,1.0,1.0
498,H6AZ09010,"GILES, DAVID VICTOR",H,AZ,9.0,REP,CHALLENGER,13441.21,170978.52,0,0.0,5292.18,13441.21,0.0,13441.21,AZ-9.0,2.0,3.0,3.0
741,H6AZ09036,"AGRA, JOHN",H,AZ,9.0,REP,CHALLENGER,72496.0,61001.24,0,10000.0,22038.49,106351.0,1845.0,108196.0,AZ-9.0,3.0,2.0,2.0
272,H2CA02142,"LAMALFA, DOUG",H,CA,1.0,REP,INCUMBENT,733365.98,697896.21,1,98168.1,73817.87,322060.49,28229.5,350289.99,CA-1.0,1.0,1.0,1.0
591,H6CA01186,"MONTES, JOSEPH",H,CA,1.0,REP,CHALLENGER,124678.0,177179.67,0,0.0,2500.33,118550.0,6128.0,124678.0,CA-1.0,2.0,3.0,2.0
630,H6CA01194,"REED, JAMES E",H,CA,1.0,DEM,CHALLENGER,73075.68,103255.84,0,0.0,2276.15,42963.39,15862.29,58825.68,CA-1.0,3.0,2.0,3.0
1112,H6CA01178,"WRIGHT, DOUGLAS A.",H,CA,1.0,REP,CHALLENGER,9993.0,13159.03,0,0.0,0.0,19475.0,2368.0,21843.0,CA-1.0,4.0,4.0,4.0
225,H2CA06259,"HUFFMAN, JARED",H,CA,2.0,DEM,INCUMBENT,908683.27,521336.86,1,384552.29,607930.04,461702.65,73704.14,535406.79,CA-2.0,1.0,1.0,1.0
1069,H6CA02234,"SCHRODE, ERIN AZARIA",H,CA,2.0,DEM,CHALLENGER,58283.5,47617.72,0,0.0,-26515.78,37820.0,20256.5,58076.5,CA-2.0,2.0,2.0,2.0
581,H4CA02098,"MENSING, DALE KENNETH",H,CA,2.0,REP,CHALLENGER,4115.0,3087.0,0,38.0,431.0,550.0,3348.0,3898.0,CA-2.0,3.0,3.0,3.0
347,H0CA10149,"GARAMENDI, JOHN",H,CA,3.0,DEM,INCUMBENT,976226.83,675341.34,1,177459.14,418956.41,351776.04,50238.43,402014.47,CA-3.0,1.0,1.0,1.0
455,H6CA03117,"CLEEK, N EUGENE MD",H,CA,3.0,REP,CHALLENGER,164259.01,320107.22,0,0.0,53046.79,139069.24,19278.61,158347.85,CA-3.0,2.0,2.0,2.0
1035,H6CA03125,"DETERT, RYAN",H,CA,3.0,REP,CHALLENGER,1482.59,9445.92,0,0.0,0.0,0.0,1482.59,1482.59,CA-3.0,3.0,3.0,3.0
153,H8CA04152,"MCCLINTOCK, THOMAS",H,CA,4.0,REP,INCUMBENT,989463.0,721156.26,1,217098.69,349880.43,575553.06,301515.49,877068.55,CA-4.0,1.0,1.0,1.0
477,H6CA04156,"DERLET, ROBERT WAYNE",H,CA,4.0,DEM,CHALLENGER,92427.94,68725.76,0,0.0,23852.18,26922.0,44305.78,71227.78,CA-4.0,2.0,2.0,2.0
242,H8CA01109,"THOMPSON, MIKE MR.",H,CA,5.0,DEM,INCUMBENT,1842739.05,1215624.93,1,1476181.68,1643277.05,574132.4,86464.62,660597.02,CA-5.0,1.0,1.0,1.0
901,H6CA05344,"PALSSON, NILS",H,CA,5.0,DEM,CHALLENGER,10240.59,10240.59,0,0.0,0.0,7308.0,2932.59,10240.59,CA-5.0,2.0,2.0,2.0
389,H6CA05336,"SANTAMARIA, CARLOS J",H,CA,5.0,REP,CHALLENGER,2700.0,2700.0,0,0.0,0.0,2700.0,0.0,2700.0,CA-5.0,3.0,3.0,3.0
318,H6CA05195,"MATSUI, DORIS",H,CA,6.0,DEM,INCUMBENT,1055275.61,759965.14,1,275234.01,407903.63,256525.0,24809.16,281334.16,CA-6.0,1.0,1.0,1.0
385,H6CA06227,"EVANS, ROBERT S",H,CA,6.0,REP,CHALLENGER,2805.0,2805.0,0,0.0,100.0,2800.0,5.0,2805.0,CA-6.0,2.0,2.0,2.0
343,H0CA03078,"BERA, AMERISH",H,CA,7.0,DEM,INCUMBENT,3611611.26,3060584.69,1,152506.33,430598.6,2045832.0,346174.45,2392006.45,CA-7.0,1.0,1.0,1.0
533,H6CA07126,"JONES, SCOTT",H,CA,7.0,REP,CHALLENGER,1166031.46,1089267.32,0,0.0,88325.97,773587.73,96800.49,870388.22,CA-7.0,2.0,2.0,2.0
341,H2CA08164,"COOK, PAUL",H,CA,8.0,REP,INCUMBENT,908448.19,822521.51,1,536222.64,611570.02,313464.75,14792.25,328257.0,CA-8.0,1.0,2.0,1.0
989,H6CA08207,"DONNELLY, TIM",H,CA,8.0,REP,CHALLENGER,85693.7,85806.7,0,0.0,0.0,61305.0,17165.15,78470.15,CA-8.0,2.0,1.0,2.0
482,H8CA41139,DR RITA RAMIREZ,H,CA,8.0,DEM,CHALLENGER,5641.08,31479.31,0,0.0,4138.81,4201.08,1160.0,5361.08,CA-8.0,3.0,3.0,3.0
365,H4CA11081,"MCNERNEY, JERRY",H,CA,9.0,DEM,INCUMBENT,1143014.88,972594.74,1,147013.31,307633.79,601106.0,89202.2,690308.2,CA-9.0,1.0,1.0,1.0
387,H6CA09098,"NANCE, KATHRYN D",H,CA,9.0,REP,CHALLENGER,68606.01,68351.76,0,0.0,100.0,51856.05,12150.96,64007.01,CA-9.0,2.0,2.0,2.0
413,H0CA11337,"AMADOR, ANTONIO C",H,CA,9.0,REP,CHALLENGER,48462.25,30903.58,0,1671.84,15230.51,30575.0,9595.0,40170.0,CA-9.0,3.0,3.0,3.0
361,H0CA19173,"DENHAM, JEFF",H,CA,10.0,REP,INCUMBENT,2607349.11,2682815.61,1,1164430.33,1226742.08,881790.83,36661.92,918452.75,CA-10.0,1.0,2.0,1.0
487,H4CA10075,"EGGMAN, MICHAEL RAY",H,CA,10.0,DEM,CHALLENGER,1268701.54,1090126.52,0,3088.7,186913.72,816931.23,149519.42,966450.65,CA-10.0,2.0,1.0,2.0
749,H2CA00096,"BARKLEY, MICHAEL JAMES",H,CA,10.0,DEM,CHALLENGER,84.83,13249.73,0,580.82,32822.67,0.0,82.6,82.6,CA-10.0,3.0,3.0,3.0
164,H0CA10073,"DESAULNIER, MARK",H,CA,11.0,DEM,INCUMBENT,567045.65,287602.47,1,20826.27,190444.45,245044.24,42262.74,287306.98,CA-11.0,1.0,1.0,1.0
388,H6CA11169,"PETERSEN, ROGER",H,CA,11.0,REP,CHALLENGER,7789.5,7046.88,0,0.0,1000.0,6400.0,1389.5,7789.5,CA-11.0,2.0,2.0,2.0
1297,H8CA05035,"PELOSI, NANCY",H,CA,12.0,DEM,INCUMBENT,3316666.51,1058650.34,1,981159.93,1460434.5,811365.22,1432378.45,2243743.67,CA-12.0,1.0,1.0,1.0
619,H6CA12175,"PICUS, PRESTON",H,CA,12.0,IND,CHALLENGER,27639.57,13689.92,0,0.0,-1484.56,17859.02,9996.55,27855.57,CA-12.0,2.0,2.0,2.0
1057,H6CA12183,"MILLER, ROBERT",H,CA,12.0,REP,CHALLENGER,5283.0,10815.38,0,0.0,0.0,5283.0,0.0,5283.0,CA-12.0,3.0,4.0,3.0
839,H4CA12089,"HERMANSON, BARRY",H,CA,12.0,GRE,CHALLENGER,2700.0,7430.36,0,0.0,0.0,0.0,200.0,200.0,CA-12.0,4.0,3.0,4.0
4,H8CA09060,"LEE, BARBARA",H,CA,13.0,DEM,INCUMBENT,1197676.61,949488.98,1,83690.6,181338.23,746233.93,150889.68,897123.61,CA-13.0,1.0,1.0,1.0
384,H6CA13140,"CARO, SUZANNE M",H,CA,13.0,REP,CHALLENGER,4521.0,3735.81,0,0.0,0.0,2700.0,350.0,3050.0,CA-13.0,2.0,2.0,2.0
85,H8CA12171,"SPEIER, JACKIE",H,CA,14.0,DEM,INCUMBENT,822526.64,378056.62,1,1277243.56,1528777.33,470345.73,18644.08,488989.81,CA-14.0,1.0,1.0,1.0
392,H6CA14114,"CARDENAS, ANGEL",H,CA,14.0,REP,CHALLENGER,4105.06,4029.13,0,0.0,0.0,3450.0,655.06,4105.06,CA-14.0,2.0,2.0,2.0
188,H2CA15094,"SWALWELL, ERIC MICHAEL",H,CA,15.0,DEM,INCUMBENT,1788569.64,960410.84,1,397504.81,985054.1,980122.43,86577.7,1066700.13,CA-15.0,1.0,1.0,1.0
394,H6CA15152,"TURNER, DANNY REID",H,CA,15.0,REP,CHALLENGER,532.75,632.75,0,0.0,0.0,250.0,282.75,532.75,CA-15.0,2.0,2.0,2.0
1263,H4CA20082,"COSTA, JIM MR.",H,CA,16.0,DEM,INCUMBENT,1698158.06,1310010.34,1,618007.51,992647.71,814875.0,5550.0,820425.0,CA-16.0,1.0,3.0,1.0
676,H2CA16100,"TACHERRA, JOHNNY",H,CA,16.0,REP,CHALLENGER,485811.5,442454.29,0,1747.43,16535.8,408148.0,46938.5,455086.5,CA-16.0,2.0,1.0,2.0
1064,H6CA16135,"ROGERS, DAVID BRYAN",H,CA,16.0,REP,CHALLENGER,227642.54,227642.54,0,0.0,0.0,226408.54,15864.0,242272.54,CA-16.0,3.0,2.0,3.0
330,H4CA12055,"KHANNA, ROHIT",H,CA,17.0,DEM,CHALLENGER,3481284.23,3297165.37,1,1669.38,182352.98,3447054.93,47779.3,3494834.23,CA-17.0,1.0,2.0,1.0
1279,H0CA15148,"HONDA, MIKE",H,CA,17.0,DEM,INCUMBENT,2753269.65,2379631.29,0,20937.4,385729.91,1919154.23,170472.15,2089626.38,CA-17.0,2.0,1.0,2.0
1047,H6CA17158,"KUO, PETER",H,CA,17.0,REP,CHALLENGER,8133.76,12332.23,0,0.0,0.0,5950.0,2182.76,8132.76,CA-17.0,3.0,3.0,3.0
780,H6CA17141,"COHEN, RONALD H",H,CA,17.0,REP,CHALLENGER,4094.0,3630.0,0,0.0,150.0,2750.0,0.0,2750.0,CA-17.0,4.0,4.0,4.0
66,H8CA12098,"ESHOO, ANNA G.",H,CA,18.0,DEM,INCUMBENT,1282687.57,846962.2,1,343222.07,489111.87,662701.71,27631.92,690333.63,CA-18.0,1.0,1.0,1.0
809,H4CA18094,"FOX, RICHARD B",H,CA,18.0,REP,CHALLENGER,17653.0,18017.01,0,762.75,-2054.0,16256.2,1196.8,17453.0,CA-18.0,2.0,2.0,2.0
247,H4CA16049,"LOFGREN, ZOE",H,CA,19.0,DEM,INCUMBENT,1315280.0,571764.04,1,1051303.33,1442557.64,837561.0,21602.33,859163.33,CA-19.0,1.0,1.0,1.0
395,H6CA19121,"LANCASTER, GORDON K CA",H,CA,19.0,REP,CHALLENGER,5100.0,5500.0,0,0.0,0.0,0.0,100.0,100.0,CA-19.0,2.0,2.0,2.0
320,H6CA20152,"PANETTA, JAMES VARNI",H,CA,20.0,DEM,OPEN,1267949.43,848419.93,1,0.0,281290.25,912119.45,65962.1,978081.55,CA-20.0,1.0,1.0,1.0
1400,H6CA20145,"LUCIUS, CASEY",H,CA,20.0,REP,OPEN,395473.35,374832.23,0,0.0,20680.36,326460.88,56902.47,383363.35,CA-20.0,2.0,2.0,2.0
378,H2CA20094,"VALADAO, DAVID",H,CA,21.0,REP,INCUMBENT,2458483.03,1757531.19,1,87286.45,778072.27,1042133.3,67506.02,1109639.32,CA-21.0,1.0,2.0,1.0
524,H6CA21218,"HUERTA, EMILIO JESUS MR.",H,CA,21.0,DEM,CHALLENGER,619470.69,480757.73,0,0.0,144745.14,346783.27,113799.52,460582.79,CA-21.0,2.0,1.0,2.0
903,H6CA21192,"PARRA, DANIEL",H,CA,21.0,DEM,CHALLENGER,70643.07,69467.28,0,0.0,567.6,46617.0,9226.07,55843.07,CA-21.0,3.0,3.0,3.0
978,H6CA21200,"PEREZ, CONNIE",H,CA,21.0,DEM,CHALLENGER,11272.95,10768.25,0,0.0,0.0,4950.0,1322.95,6272.95,CA-21.0,4.0,4.0,4.0
322,H8CA20059,"NUNES, DEVIN G",H,CA,22.0,REP,INCUMBENT,2053078.84,740196.87,1,2086973.26,3073214.68,479645.43,23869.01,503514.44,CA-22.0,1.0,1.0,1.0
302,H6CA22125,"MCCARTHY, KEVIN",H,CA,23.0,REP,INCUMBENT,4412436.51,3933938.98,1,1854633.07,1875194.64,1247202.9,33936.52,1281139.42,CA-23.0,1.0,1.0,1.0
1056,H6CA23222,"METTLER, KEN",H,CA,23.0,REP,CHALLENGER,21392.63,40896.18,0,0.0,0.0,12250.0,8152.03,20402.03,CA-23.0,2.0,3.0,2.0
631,H6CA23206,"REED, WENDY",H,CA,23.0,DEM,CHALLENGER,30770.12,28016.18,0,0.0,3126.7,5683.23,12700.31,18383.54,CA-23.0,3.0,2.0,3.0
297,H6CA24303,"CARBAJAL, SALUD",H,CA,24.0,DEM,OPEN,2843340.9,2424323.48,1,0.0,412018.71,2202318.29,144419.19,2346737.48,CA-24.0,1.0,1.0,1.0
1373,H4CA24142,"FAREED, JUSTIN",H,CA,24.0,REP,OPEN,2109529.24,1788877.53,0,0.0,316812.74,1895563.77,42486.21,1938049.98,CA-24.0,2.0,4.0,2.0
1331,H6CA24295,"ACHADJIAN, KHATCHIK",H,CA,24.0,REP,OPEN,788522.17,800985.3,0,0.0,0.0,721119.79,64188.53,785308.32,CA-24.0,3.0,2.0,3.0
1583,H6CA24311,"SCHNEIDER, HELENE",H,CA,24.0,DEM,OPEN,555787.1,565785.05,0,0.0,0.0,579818.42,57519.68,637338.1,CA-24.0,4.0,3.0,4.0
1523,H6CA24329,"KOKKONEN, MATT",H,CA,24.0,REP,OPEN,9101.0,75031.64,0,0.0,144569.36,5500.0,3601.0,9101.0,CA-24.0,5.0,6.0,6.0
1638,H6CA24287,"OSTRANDER, WILLIAM",H,CA,24.0,DEM,OPEN,47545.31,66993.45,0,0.0,0.0,41245.87,5988.06,47233.93,CA-24.0,6.0,5.0,5.0
1509,H4CA24183,"ISAKSON, STEVE WESLEY PHD",H,CA,24.0,NNE,OPEN,0.0,6788.07,0,0.0,38243.94,0.0,0.0,0.0,CA-24.0,7.0,7.0,7.0
359,H4CA25123,"KNIGHT, STEVE",H,CA,25.0,REP,INCUMBENT,1434575.68,1296637.69,1,4625.71,110531.5,492154.01,50653.01,542807.02,CA-25.0,1.0,2.0,2.0
440,H6CA25177,"CAFORIO, BRYAN",H,CA,25.0,DEM,CHALLENGER,1312243.14,1245092.13,0,0.0,80237.5,780858.79,175813.88,956672.67,CA-25.0,2.0,1.0,1.0
1013,H6CA25151,"VINCE, LOU",H,CA,25.0,DEM,CHALLENGER,93555.15,93555.15,0,0.0,0.0,60593.42,23150.92,83744.34,CA-25.0,3.0,3.0,3.0
1143,H6CA25169,"GUTZEIT, MARIA",H,CA,25.0,DEM,CHALLENGER,60371.79,62067.92,0,0.0,0.0,49510.0,6525.97,56035.97,CA-25.0,4.0,4.0,4.0
951,H4CA25107,"THOMAS, EVAN CHARLES",H,CA,25.0,DEM,CHALLENGER,3510.18,6633.9,0,3046.0,1423.08,4500.0,688.97,5188.97,CA-25.0,5.0,5.0,5.0
314,H2CA00120,"BROWNLEY, JULIA",H,CA,26.0,DEM,INCUMBENT,3078109.45,1404724.47,1,275379.83,1896118.96,1557402.67,562461.43,2119864.1,CA-26.0,1.0,1.0,1.0
468,H4CA26139,"DAGNESSES, RAFAEL",H,CA,26.0,REP,CHALLENGER,151701.0,155466.91,0,250.0,133204.55,128198.0,20003.0,148201.0,CA-26.0,2.0,2.0,2.0
336,H0CA32101,"CHU, JUDY",H,CA,27.0,DEM,INCUMBENT,1067211.83,384739.73,1,1687908.99,2048764.65,654677.81,57674.02,712351.83,CA-27.0,1.0,1.0,1.0
607,H2CA27198,"ORSWELL, JACK",H,CA,27.0,REP,CHALLENGER,167398.0,158741.81,0,7082.34,35261.53,140880.0,21338.0,162218.0,CA-27.0,2.0,2.0,2.0
264,H0CA27085,"SCHIFF, ADAM",H,CA,28.0,DEM,INCUMBENT,888319.57,616081.11,1,2104594.56,2105419.52,420198.96,49950.61,470149.57,CA-28.0,1.0,1.0,1.0
